COUNTY_ID,COUNTY,TOWN_ID,TOWN,E1314_CNT,E1112_CNT,E2122_CNT,E3_4_5_CNT,E6_7_CNT,E8_9_CNT,E1_2_CNT,E03_CNT,E04_CNT,INFO_TIME
縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,博士人口數,碩士人口數,大學院校人口數,專科人口數,高中職人口數,國中初職人口數,小學人口數,自修人口數,不識字人口數,資料時間
"65000","新北市","65000010","板橋區",2829,37314,145027,60613,132568,54650,44158,899,2571,"110Y"
"65000","新北市","65000020","三重區",1325,19851,94196,38436,97848,52167,33436,562,2074,"110Y"
"65000","新北市","65000030","中和區",2245,27915,112243,48897,103255,38636,28640,473,1711,"110Y"
"65000","新北市","65000040","永和區",1934,19615,66314,26593,49460,13738,11176,260,643,"110Y"
"65000","新北市","65000050","新莊區",1603,23753,109233,43793,108108,47391,27809,337,1476,"110Y"
"65000","新北市","65000060","新店區",3005,25103,91378,36844,73638,23960,16416,411,966,"110Y"
"65000","新北市","65000070","樹林區",704,9007,44457,18006,50207,21026,13993,234,651,"110Y"
"65000","新北市","65000080","鶯歌區",249,3835,20585,7659,24597,11958,7358,113,524,"110Y"
"65000","新北市","65000090","三峽區",604,5955,27375,10834,31023,14928,8167,127,653,"110Y"
"65000","新北市","65000100","淡水區",1834,13950,53467,21927,43578,17654,10780,179,957,"110Y"
"65000","新北市","65000110","汐止區",1232,13349,57693,25703,53231,19687,13482,210,934,"110Y"
"65000","新北市","65000120","瑞芳區",63,1023,6900,3309,10936,6624,5263,155,836,"110Y"
"65000","新北市","65000130","土城區",794,12321,59888,25082,63578,28916,17044,254,999,"110Y"
"65000","新北市","65000140","蘆洲區",512,9430,51006,19979,52698,26686,14758,215,792,"110Y"
"65000","新北市","65000150","五股區",212,3431,21929,9101,25977,11266,7457,92,420,"110Y"
"65000","新北市","65000160","泰山區",314,3796,18889,8417,20881,8905,5441,87,262,"110Y"
"65000","新北市","65000170","林口區",1273,10734,35748,13592,26030,8074,6069,124,572,"110Y"
"65000","新北市","65000180","深坑區",163,1228,6204,2630,6525,2417,2174,43,139,"110Y"
"65000","新北市","65000190","石碇區",24,227,1323,593,2103,1277,1267,28,143,"110Y"
"65000","新北市","65000200","坪林區",18,205,1127,473,1896,992,1259,30,188,"110Y"
"65000","新北市","65000210","三芝區",72,748,4562,2167,6381,3812,2200,86,440,"110Y"
"65000","新北市","65000220","石門區",9,253,2203,839,3367,2022,1585,15,41,"110Y"
"65000","新北市","65000230","八里區",122,1540,9086,4899,11317,5339,3047,49,327,"110Y"
"65000","新北市","65000240","平溪區",3,69,486,352,1278,999,753,8,193,"110Y"
"65000","新北市","65000250","雙溪區",17,214,1289,606,2039,1629,1430,45,463,"110Y"
"65000","新北市","65000260","貢寮區",16,232,1788,883,3073,2394,2035,37,474,"110Y"
"65000","新北市","65000270","金山區",44,592,3978,1714,5639,3621,2992,89,437,"110Y"
"65000","新北市","65000280","萬里區",31,557,3766,1790,6464,3515,3005,83,406,"110Y"
"65000","新北市","65000290","烏來區",14,202,1223,597,2071,809,556,4,11,"110Y"
"63000","臺北市","63000010","松山區",2719,24095,68347,22530,32509,7479,7226,131,317,"110Y"
"63000","臺北市","63000020","信義區",2484,22528,70685,23887,39996,11912,11853,361,643,"110Y"
"63000","臺北市","63000030","大安區",7259,42677,103625,29639,43794,10518,9172,227,469,"110Y"
"63000","臺北市","63000040","中山區",2611,23015,71459,25196,43765,12195,11457,256,477,"110Y"
"63000","臺北市","63000050","中正區",3173,20161,49417,15505,24779,6565,5880,141,403,"110Y"
"63000","臺北市","63000060","大同區",992,9582,34548,13893,28187,9005,8811,183,422,"110Y"
"63000","臺北市","63000070","萬華區",1276,12316,46778,19583,44163,17001,16993,454,1073,"110Y"
"63000","臺北市","63000080","文山區",4399,30561,84968,29906,50983,12723,12915,364,873,"110Y"
"63000","臺北市","63000090","南港區",1398,10448,34578,13276,24852,7609,8686,198,571,"110Y"
"63000","臺北市","63000100","內湖區",2809,29267,91160,33132,52681,13772,13897,275,737,"110Y"
"63000","臺北市","63000110","士林區",2881,24681,82770,30677,57043,17867,20218,330,987,"110Y"
"63000","臺北市","63000120","北投區",2967,21988,73366,28450,50962,16355,17560,309,961,"110Y"
"68000","桃園市","68000010","桃園區",2453,33962,130176,48898,111350,34629,26443,542,1892,"110Y"
"68000","桃園市","68000020","中壢區",2893,29262,116014,42553,108868,32244,25888,551,1942,"110Y"
"68000","桃園市","68000030","大溪區",375,4171,21226,7939,26975,11343,9381,153,865,"110Y"
"68000","桃園市","68000040","楊梅區",616,9015,46225,17199,50644,15040,10891,215,883,"110Y"
"68000","桃園市","68000050","蘆竹區",598,9147,45077,16432,42398,15226,9761,215,1075,"110Y"
"68000","桃園市","68000060","大園區",306,4098,21962,7013,25714,10849,7645,127,1311,"110Y"
"68000","桃園市","68000070","龜山區",1058,9556,42062,16437,43583,17554,13090,222,915,"110Y"
"68000","桃園市","68000080","八德區",694,10490,51546,18826,56829,21906,17296,339,1239,"110Y"
"68000","桃園市","68000090","龍潭區",1070,7978,30798,11997,33663,12145,9219,169,552,"110Y"
"68000","桃園市","68000100","平鎮區",981,12927,59896,21982,63095,19645,14923,279,863,"110Y"
"68000","桃園市","68000110","新屋區",95,1648,10899,3863,15373,5407,5106,193,820,"110Y"
"68000","桃園市","68000120","觀音區",111,2195,16221,5551,21620,8235,5795,150,927,"110Y"
"68000","桃園市","68000130","復興區",17,230,1735,831,3894,2492,1395,4,60,"110Y"
"66000","臺中市","66000010","中區",127,1012,3995,2013,4615,1509,1179,17,47,"110Y"
"66000","臺中市","66000020","東區",489,4618,19939,8291,20135,7056,5800,77,359,"110Y"
"66000","臺中市","66000030","南區",1597,10766,38130,15162,29145,7998,5923,148,312,"110Y"
"66000","臺中市","66000040","西區",1502,10567,34796,13173,24440,6377,5427,119,283,"110Y"
"66000","臺中市","66000050","北區",1572,11007,42467,16658,36120,10501,8132,97,428,"110Y"
"66000","臺中市","66000060","西屯區",2750,20821,68591,25422,50038,13753,10679,140,654,"110Y"
"66000","臺中市","66000070","南屯區",1998,16230,54904,20345,37179,8971,8091,99,387,"110Y"
"66000","臺中市","66000080","北屯區",2097,22208,83631,33547,70286,18028,15133,472,805,"110Y"
"66000","臺中市","66000090","豐原區",609,8712,40223,17178,44034,15935,13695,121,794,"110Y"
"66000","臺中市","66000100","東勢區",113,1793,9639,4522,15020,6148,5843,39,386,"110Y"
"66000","臺中市","66000110","大甲區",176,3348,17089,6014,20274,8904,7817,160,907,"110Y"
"66000","臺中市","66000120","清水區",236,4229,20493,7546,23344,10272,9398,150,1157,"110Y"
